"","Date","period","GoldPrice","Date2","OilPrice","GoldPrice_interp","OilPrice_interp"
"26",2010-01-26,2010-01-26,676.64,2010-01-26,74.67,676.64,74.67
"27",2010-01-27,2010-01-27,675.02,2010-01-27,73.64,675.02,73.64
"28",2010-01-28,2010-01-28,672.26,2010-01-28,73.62,672.26,73.62
"29",2010-01-29,2010-01-29,670.64,2010-01-29,72.85,670.64,72.85
"30",2010-01-30,NA,NA,NA,NA,674.426666666667,73.37
"31",2010-01-31,NA,NA,NA,NA,678.213333333333,73.89
"32",2010-02-01,2010-02-01,682,2010-02-01,74.41,682,74.41
"33",2010-02-02,2010-02-02,699.31,2010-02-02,77.21,699.31,77.21
"34",2010-02-03,2010-02-03,698.93,2010-02-03,76.96,698.93,76.96
"35",2010-02-04,2010-02-04,695.67,2010-02-04,73.13,695.67,73.13
"36",2010-02-05,2010-02-05,670.01,2010-02-05,71.15,670.01,71.15
"37",2010-02-06,NA,NA,NA,NA,675.613333333333,71.39
"38",2010-02-07,NA,NA,NA,NA,681.216666666667,71.63
"39",2010-02-08,2010-02-08,686.82,2010-02-08,71.87,686.82,71.87
"40",2010-02-09,2010-02-09,685.76,2010-02-09,73.71,685.76,73.71
"41",2010-02-10,2010-02-10,685.08,2010-02-10,74.48,685.08,74.48
"42",2010-02-11,2010-02-11,691.32,2010-02-11,75.23,691.32,75.23
"43",2010-02-12,2010-02-12,690.39,2010-02-12,74.11,690.39,74.11
"44",2010-02-13,NA,NA,NA,NA,693.996666666667,74.8275
"45",2010-02-14,NA,NA,NA,NA,697.603333333333,75.545
"46",2010-02-15,2010-02-15,701.21,2010-02-15,NA,701.21,76.2625
"47",2010-02-16,2010-02-16,710.58,2010-02-16,76.98,710.58,76.98
"48",2010-02-17,2010-02-17,709.1,2010-02-17,77.27,709.1,77.27
"49",2010-02-18,2010-02-18,708.11,2010-02-18,78.97,708.11,78.97
"50",2010-02-19,2010-02-19,719.49,2010-02-19,79.77,719.49,79.77
"51",2010-02-20,NA,NA,NA,NA,720.933333333333,79.86
"52",2010-02-21,NA,NA,NA,NA,722.376666666667,79.95
"53",2010-02-22,2010-02-22,723.82,2010-02-22,80.04,723.82,80.04
"54",2010-02-23,2010-02-23,721.52,2010-02-23,78.61,721.52,78.61
"55",2010-02-24,2010-02-24,707.76,2010-02-24,79.75,707.76,79.75
"56",2010-02-25,2010-02-25,713.94,2010-02-25,77.99,713.94,77.99
"57",2010-02-26,2010-02-26,728.6,2010-02-26,79.72,728.6,79.72
"58",2010-02-27,NA,NA,NA,NA,733.286666666667,79.3833333333333
"59",2010-02-28,NA,NA,NA,NA,737.973333333333,79.0466666666667
"60",2010-03-01,2010-03-01,742.66,2010-03-01,78.71,742.66,78.71
"61",2010-03-02,2010-03-02,747.44,2010-03-02,79.62,747.44,79.62
"62",2010-03-03,2010-03-03,755.54,2010-03-03,80.91,755.54,80.91
"63",2010-03-04,2010-03-04,753.03,2010-03-04,80.21,753.03,80.21
"64",2010-03-05,2010-03-05,755.01,2010-03-05,81.5,755.01,81.5
"65",2010-03-06,NA,NA,NA,NA,753.076666666667,81.6166666666667
"66",2010-03-07,NA,NA,NA,NA,751.143333333333,81.7333333333333
"67",2010-03-08,2010-03-08,749.21,2010-03-08,81.85,749.21,81.85
"68",2010-03-09,2010-03-09,748.96,2010-03-09,81.5,748.96,81.5
"69",2010-03-10,2010-03-10,754.24,2010-03-10,82.07,754.24,82.07
"70",2010-03-11,2010-03-11,736.45,2010-03-11,82.1,736.45,82.1
"71",2010-03-12,2010-03-12,737.96,2010-03-12,81.26,737.96,81.26
"72",2010-03-13,NA,NA,NA,NA,736.523333333333,80.77
"73",2010-03-14,NA,NA,NA,NA,735.086666666667,80.28
"74",2010-03-15,2010-03-15,733.65,2010-03-15,79.79,733.65,79.79
"75",2010-03-16,2010-03-16,737.4,2010-03-16,81.75,737.4,81.75
"76",2010-03-17,2010-03-17,736.49,2010-03-17,82.93,736.49,82.93
"77",2010-03-18,2010-03-18,734.16,2010-03-18,82.16,734.16,82.16
"78",2010-03-19,2010-03-19,740.75,2010-03-19,80.58,740.75,80.58
"79",2010-03-20,NA,NA,NA,NA,739.223333333333,80.8066666666667
"80",2010-03-21,NA,NA,NA,NA,737.696666666667,81.0333333333333
"81",2010-03-22,2010-03-22,736.17,2010-03-22,81.26,736.17,81.26
"82",2010-03-23,2010-03-23,733.25,2010-03-23,81.68,733.25,81.68
"83",2010-03-24,2010-03-24,731.87,2010-03-24,80.29,731.87,80.29
"84",2010-03-25,2010-03-25,730.75,2010-03-25,80.25,730.75,80.25
"85",2010-03-26,2010-03-26,737.9,2010-03-26,79.75,737.9,79.75
"86",2010-03-27,NA,NA,NA,NA,739.34,80.4733333333333
"87",2010-03-28,NA,NA,NA,NA,740.78,81.1966666666667
"88",2010-03-29,2010-03-29,742.22,2010-03-29,81.92,742.22,81.92
"89",2010-03-30,2010-03-30,736.45,2010-03-30,82.14,736.45,82.14
"90",2010-03-31,2010-03-31,732.1,2010-03-31,83.45,732.1,83.45
"91",2010-04-01,2010-04-01,733.49,2010-04-01,84.53,733.49,84.53
"92",2010-04-02,NA,NA,2010-04-02,NA,735.116,84.9875
"93",2010-04-03,NA,NA,NA,NA,736.742,85.445
"94",2010-04-04,NA,NA,NA,NA,738.368,85.9025
"95",2010-04-05,NA,NA,2010-04-05,86.36,739.994,86.36
"96",2010-04-06,2010-04-06,741.62,2010-04-06,86.54,741.62,86.54
"97",2010-04-07,2010-04-07,743.65,2010-04-07,85.64,743.65,85.64
"98",2010-04-08,2010-04-08,754.97,2010-04-08,85.17,754.97,85.17
"99",2010-04-09,2010-04-09,752.9,2010-04-09,84.6,752.9,84.6
"100",2010-04-10,NA,NA,NA,NA,753.153333333333,84.4233333333333
"101",2010-04-11,NA,NA,NA,NA,753.406666666667,84.2466666666667
"102",2010-04-12,2010-04-12,753.66,2010-04-12,84.07,753.66,84.07
"103",2010-04-13,2010-04-13,747.43,2010-04-13,83.8,747.43,83.8
"104",2010-04-14,2010-04-14,750.94,2010-04-14,85.62,750.94,85.62
"105",2010-04-15,2010-04-15,745.87,2010-04-15,85.25,745.87,85.25
"106",2010-04-16,2010-04-16,748.67,2010-04-16,82.97,748.67,82.97
"107",2010-04-17,NA,NA,NA,NA,746.046666666667,82.4866666666667
"108",2010-04-18,NA,NA,NA,NA,743.423333333333,82.0033333333333
"109",2010-04-19,2010-04-19,740.8,2010-04-19,81.52,740.8,81.52
"110",2010-04-20,2010-04-20,742.03,2010-04-20,82.98,742.03,82.98
"111",2010-04-21,2010-04-21,741.35,2010-04-21,82.78,741.35,82.78
"112",2010-04-22,2010-04-22,742.06,2010-04-22,82.89,742.06,82.89
"113",2010-04-23,2010-04-23,742.53,2010-04-23,84.34,742.53,84.34
"114",2010-04-24,NA,NA,NA,NA,744.156666666667,84.2933333333333
"115",2010-04-25,NA,NA,NA,NA,745.783333333333,84.2466666666667
"116",2010-04-26,2010-04-26,747.41,2010-04-26,84.2,747.41,84.2
"117",2010-04-27,2010-04-27,750.75,2010-04-27,82.43,750.75,82.43
"118",2010-04-28,2010-04-28,767.92,2010-04-28,83.22,767.92,83.22
"119",2010-04-29,2010-04-29,768.88,2010-04-29,85.17,768.88,85.17
"120",2010-04-30,2010-04-30,765.39,2010-04-30,86.07,765.39,86.07
"121",2010-05-01,NA,NA,NA,NA,768.795,86.11
"122",2010-05-02,NA,NA,NA,NA,772.2,86.15
"123",2010-05-03,NA,NA,2010-05-03,86.19,775.605,86.19
"124",2010-05-04,2010-05-04,779.01,2010-05-04,82.73,779.01,82.73
"125",2010-05-05,2010-05-05,773.5,2010-05-05,80,773.5,80
"126",2010-05-06,2010-05-06,783.09,2010-05-06,77.18,783.09,77.18
"127",2010-05-07,2010-05-07,825.6,2010-05-07,75.1,825.6,75.1
"128",2010-05-08,NA,NA,NA,NA,814.88,75.6966666666667
"129",2010-05-09,NA,NA,NA,NA,804.16,76.2933333333333
"130",2010-05-10,2010-05-10,793.44,2010-05-10,76.89,793.44,76.89
"131",2010-05-11,2010-05-11,815.07,2010-05-11,76.37,815.07,76.37
"132",2010-05-12,2010-05-12,831.83,2010-05-12,75.65,831.83,75.65
"133",2010-05-13,2010-05-13,836.66,2010-05-13,74.38,836.66,74.38
"134",2010-05-14,2010-05-14,852.66,2010-05-14,71.61,852.66,71.61
"135",2010-05-15,NA,NA,NA,NA,852.666666666667,71.1
"136",2010-05-16,NA,NA,NA,NA,852.673333333333,70.59
"137",2010-05-17,2010-05-17,852.68,2010-05-17,70.08,852.68,70.08
"138",2010-05-18,2010-05-18,842,2010-05-18,69.38,842,69.38
"139",2010-05-19,2010-05-19,847.05,2010-05-19,69.91,847.05,69.91
"140",2010-05-20,2010-05-20,826.37,2010-05-20,68.28,826.37,68.28
"141",2010-05-21,2010-05-21,821.7,2010-05-21,68.03,821.7,68.03
"142",2010-05-22,NA,NA,NA,NA,820.906666666667,68.0966666666667
"143",2010-05-23,NA,NA,NA,NA,820.113333333333,68.1633333333333
"144",2010-05-24,2010-05-24,819.32,2010-05-24,68.23,819.32,68.23
"145",2010-05-25,2010-05-25,833.1,2010-05-25,64.78,833.1,64.78
"146",2010-05-26,2010-05-26,841.08,2010-05-26,71.52,841.08,71.52
"147",2010-05-27,2010-05-27,832.42,2010-05-27,74.56,832.42,74.56
"148",2010-05-28,2010-05-28,834.14,2010-05-28,74,834.14,74
"149",2010-05-29,NA,NA,NA,NA,836.445,73.675
"150",2010-05-30,NA,NA,NA,NA,838.75,73.35
"151",2010-05-31,NA,NA,2010-05-31,NA,841.055,73.025
"152",2010-06-01,2010-06-01,843.36,2010-06-01,72.7,843.36,72.7
"153",2010-06-02,2010-06-02,831.46,2010-06-02,72.88,831.46,72.88
"154",2010-06-03,2010-06-03,830.55,2010-06-03,74.62,830.55,74.62
"155",2010-06-04,2010-06-04,821.28,2010-06-04,71.43,821.28,71.43
"156",2010-06-05,NA,NA,NA,NA,827.526666666667,71.47
"157",2010-06-06,NA,NA,NA,NA,833.773333333333,71.51
"158",2010-06-07,2010-06-07,840.02,2010-06-07,71.55,840.02,71.55
"159",2010-06-08,2010-06-08,867.45,2010-06-08,71.88,867.45,71.88
"160",2010-06-09,2010-06-09,853.49,2010-06-09,74.38,853.49,74.38
"161",2010-06-10,2010-06-10,835.85,2010-06-10,75.48,835.85,75.48
"162",2010-06-11,2010-06-11,832.31,2010-06-11,73.89,832.31,73.89
"163",2010-06-12,NA,NA,NA,NA,832.803333333333,74.2566666666667
"164",2010-06-13,NA,NA,NA,NA,833.296666666667,74.6233333333333
"165",2010-06-14,2010-06-14,833.79,2010-06-14,74.99,833.79,74.99
"166",2010-06-15,2010-06-15,831.01,2010-06-15,76.84,831.01,76.84
"167",2010-06-16,2010-06-16,835.08,2010-06-16,77.67,835.08,77.67
"168",2010-06-17,2010-06-17,834.91,2010-06-17,76.82,834.91,76.82
"169",2010-06-18,2010-06-18,838.44,2010-06-18,77.18,838.44,77.18
"170",2010-06-19,NA,NA,NA,NA,841.066666666667,77.4
"171",2010-06-20,NA,NA,NA,NA,843.693333333333,77.62
"172",2010-06-21,2010-06-21,846.32,2010-06-21,77.84,846.32,77.84
"173",2010-06-22,2010-06-22,840.08,2010-06-22,77.15,840.08,77.15
"174",2010-06-23,2010-06-23,834.12,2010-06-23,75.9,834.12,75.9
"175",2010-06-24,2010-06-24,822,2010-06-24,75.96,822,75.96
"176",2010-06-25,2010-06-25,833.73,2010-06-25,78.45,833.73,78.45
"177",2010-06-26,NA,NA,NA,NA,833.893333333333,78.3866666666667
"178",2010-06-27,NA,NA,NA,NA,834.056666666667,78.3233333333333
"179",2010-06-28,2010-06-28,834.22,2010-06-28,78.26,834.22,78.26
"180",2010-06-29,2010-06-29,822.68,2010-06-29,75.93,822.68,75.93
"181",2010-06-30,2010-06-30,826.01,2010-06-30,75.59,826.01,75.59
"182",2010-07-01,2010-07-01,832.16,2010-07-01,72.95,832.16,72.95
"183",2010-07-02,2010-07-02,796.43,2010-07-02,72.06,796.43,72.06
"184",2010-07-03,NA,NA,NA,NA,797.13,72.035
"185",2010-07-04,NA,NA,NA,NA,797.83,72.01
"186",2010-07-05,2010-07-05,798.53,2010-07-05,NA,798.53,71.985
"187",2010-07-06,2010-07-06,798.12,2010-07-06,71.96,798.12,71.96
"188",2010-07-07,2010-07-07,785.27,2010-07-07,74.05,785.27,74.05
"189",2010-07-08,2010-07-08,792.28,2010-07-08,75.46,792.28,75.46
"190",2010-07-09,2010-07-09,787.73,2010-07-09,76.08,787.73,76.08
"191",2010-07-10,NA,NA,NA,NA,793.063333333333,75.6966666666667
"192",2010-07-11,NA,NA,NA,NA,798.396666666667,75.3133333333333
"193",2010-07-12,2010-07-12,803.73,2010-07-12,74.93,803.73,74.93
"194",2010-07-13,2010-07-13,798.53,2010-07-13,77.16,798.53,77.16
"195",2010-07-14,2010-07-14,794.71,2010-07-14,77.02,794.71,77.02
"196",2010-07-15,2010-07-15,790.96,2010-07-15,76.67,790.96,76.67
"197",2010-07-16,2010-07-16,780.68,2010-07-16,75.96,780.68,75.96
"198",2010-07-17,NA,NA,NA,NA,780.343333333333,76.15
"199",2010-07-18,NA,NA,NA,NA,780.006666666667,76.34
"200",2010-07-19,2010-07-19,779.67,2010-07-19,76.53,779.67,76.53
"201",2010-07-20,2010-07-20,776.28,2010-07-20,77.32,776.28,77.32
"202",2010-07-21,2010-07-21,779.46,2010-07-21,76.27,779.46,76.27
"203",2010-07-22,2010-07-22,777.29,2010-07-22,79.01,777.29,79.01
"204",2010-07-23,2010-07-23,778.51,2010-07-23,78.68,778.51,78.68
"205",2010-07-24,NA,NA,NA,NA,774.756666666667,78.7633333333333
"206",2010-07-25,NA,NA,NA,NA,771.003333333333,78.8466666666667
"207",2010-07-26,2010-07-26,767.25,2010-07-26,78.93,767.25,78.93
"208",2010-07-27,2010-07-27,765.9,2010-07-27,77.46,765.9,77.46
"209",2010-07-28,2010-07-28,746.01,2010-07-28,77.06,746.01,77.06
"210",2010-07-29,2010-07-29,745.05,2010-07-29,78.3,745.05,78.3
"211",2010-07-30,2010-07-30,747.62,2010-07-30,78.85,747.62,78.85
"212",2010-07-31,NA,NA,NA,NA,746.856666666667,79.65
"213",2010-08-01,NA,NA,NA,NA,746.093333333333,80.45
"214",2010-08-02,2010-08-02,745.33,2010-08-02,81.25,745.33,81.25
"215",2010-08-03,2010-08-03,743.39,2010-08-03,82.52,743.39,82.52
"216",2010-08-04,2010-08-04,750.6,2010-08-04,82.49,750.6,82.49
"217",2010-08-05,2010-08-05,752.64,2010-08-05,82,752.64,82
"218",2010-08-06,2010-08-06,753.11,2010-08-06,80.67,753.11,80.67
"219",2010-08-07,NA,NA,NA,NA,754.11,80.9333333333333
"220",2010-08-08,NA,NA,NA,NA,755.11,81.1966666666667
"221",2010-08-09,2010-08-09,756.11,2010-08-09,81.46,756.11,81.46
"222",2010-08-10,2010-08-10,757.53,2010-08-10,80.24,757.53,80.24
"223",2010-08-11,2010-08-11,762.04,2010-08-11,78.09,762.04,78.09
"224",2010-08-12,2010-08-12,767.61,2010-08-12,75.68,767.61,75.68
"225",2010-08-13,2010-08-13,778.2,2010-08-13,75.39,778.2,75.39
"226",2010-08-14,NA,NA,NA,NA,780.08,75.3166666666667
"227",2010-08-15,NA,NA,NA,NA,781.96,75.2433333333333
"228",2010-08-16,2010-08-16,783.84,2010-08-16,75.17,783.84,75.17
"229",2010-08-17,2010-08-17,782,2010-08-17,75.76,782,75.76
"230",2010-08-18,2010-08-18,782.32,2010-08-18,75.39,782.32,75.39
"231",2010-08-19,2010-08-19,785.32,2010-08-19,74.45,785.32,74.45
"232",2010-08-20,2010-08-20,791.83,2010-08-20,73.45,791.83,73.45
"233",2010-08-21,NA,NA,NA,NA,791.163333333333,73.2033333333333
"234",2010-08-22,NA,NA,NA,NA,790.496666666667,72.9566666666667
"235",2010-08-23,2010-08-23,789.83,2010-08-23,72.71,789.83,72.71
"236",2010-08-24,2010-08-24,790.5,2010-08-24,71.24,790.5,71.24
"237",2010-08-25,2010-08-25,802.53,2010-08-25,72.07,802.53,72.07
"238",2010-08-26,2010-08-26,798.67,2010-08-26,73.36,798.67,73.36
"239",2010-08-27,2010-08-27,796.2,2010-08-27,75.17,796.2,75.17
"240",2010-08-28,NA,NA,NA,NA,797.1725,75.01
"241",2010-08-29,NA,NA,NA,NA,798.145,74.85
"242",2010-08-30,NA,NA,2010-08-30,74.69,799.1175,74.69
"243",2010-08-31,2010-08-31,800.09,2010-08-31,71.93,800.09,71.93
"244",2010-09-01,2010-09-01,812.53,2010-09-01,73.97,812.53,73.97
"245",2010-09-02,2010-09-02,810.12,2010-09-02,74.99,810.12,74.99
"246",2010-09-03,2010-09-03,812.41,2010-09-03,74.52,812.41,74.52
"247",2010-09-04,NA,NA,NA,NA,811.99,74.385
"248",2010-09-05,NA,NA,NA,NA,811.57,74.25
"249",2010-09-06,2010-09-06,811.15,2010-09-06,NA,811.15,74.115
"250",2010-09-07,2010-09-07,811.54,2010-09-07,73.98,811.54,73.98
"251",2010-09-08,2010-09-08,814.29,2010-09-08,74.65,814.29,74.65
"252",2010-09-09,2010-09-09,813.38,2010-09-09,74.25,813.38,74.25
"253",2010-09-10,2010-09-10,808.51,2010-09-10,76.4,808.51,76.4
"254",2010-09-11,NA,NA,NA,NA,807.133333333333,76.6566666666667
"255",2010-09-12,NA,NA,NA,NA,805.756666666667,76.9133333333333
"256",2010-09-13,2010-09-13,804.38,2010-09-13,77.17,804.38,77.17
"257",2010-09-14,2010-09-14,813.85,2010-09-14,76.78,813.85,76.78
"258",2010-09-15,2010-09-15,818.82,2010-09-15,75.92,818.82,75.92
"259",2010-09-16,2010-09-16,815.37,2010-09-16,74.58,815.37,74.58
"260",2010-09-17,2010-09-17,816.19,2010-09-17,73.63,816.19,73.63
"261",2010-09-18,NA,NA,NA,NA,817.86,74.0233333333333
"262",2010-09-19,NA,NA,NA,NA,819.53,74.4166666666667
"263",2010-09-20,2010-09-20,821.2,2010-09-20,74.81,821.2,74.81
"264",2010-09-21,2010-09-21,823.3,2010-09-21,72.96,823.3,72.96
"265",2010-09-22,2010-09-22,823.56,2010-09-22,72.98,823.56,72.98
"266",2010-09-23,2010-09-23,824.5,2010-09-23,73.4,824.5,73.4
"267",2010-09-24,2010-09-24,826.49,2010-09-24,74.63,826.49,74.63
"268",2010-09-25,NA,NA,NA,NA,824.626666666667,75.2566666666667
"269",2010-09-26,NA,NA,NA,NA,822.763333333333,75.8833333333333
"270",2010-09-27,2010-09-27,820.9,2010-09-27,76.51,820.9,76.51
"271",2010-09-28,2010-09-28,813.04,2010-09-28,76.15,813.04,76.15
"272",2010-09-29,2010-09-29,826.12,2010-09-29,77.85,826.12,77.85
"273",2010-09-30,2010-09-30,824.32,2010-09-30,79.95,824.32,79.95
"274",2010-10-01,2010-10-01,828.29,2010-10-01,81.57,828.29,81.57
"275",2010-10-02,NA,NA,NA,NA,830.2,81.5233333333333
"276",2010-10-03,NA,NA,NA,NA,832.11,81.4766666666667
"277",2010-10-04,2010-10-04,834.02,2010-10-04,81.43,834.02,81.43
"278",2010-10-05,2010-10-05,835.49,2010-10-05,82.83,835.49,82.83
"279",2010-10-06,2010-10-06,847.44,2010-10-06,83.21,847.44,83.21
"280",2010-10-07,2010-10-07,853.1,2010-10-07,81.34,853.1,81.34
"281",2010-10-08,2010-10-08,838.32,2010-10-08,82.66,838.32,82.66
"282",2010-10-09,NA,NA,NA,NA,840.926666666667,82.5
"283",2010-10-10,NA,NA,NA,NA,843.533333333333,82.34
"284",2010-10-11,2010-10-11,846.14,2010-10-11,82.18,846.14,82.18
"285",2010-10-12,2010-10-12,849.03,2010-10-12,81.67,849.03,81.67
"286",2010-10-13,2010-10-13,856.77,2010-10-13,83.03,856.77,83.03
"287",2010-10-14,2010-10-14,860.12,2010-10-14,82.71,860.12,82.71
"288",2010-10-15,2010-10-15,858.37,2010-10-15,81.23,858.37,81.23
"289",2010-10-16,NA,NA,NA,NA,857.58,81.84
"290",2010-10-17,NA,NA,NA,NA,856.79,82.45
"291",2010-10-18,2010-10-18,856,2010-10-18,83.06,856,83.06
"292",2010-10-19,2010-10-19,864.35,2010-10-19,79.57,864.35,79.57
"293",2010-10-20,2010-10-20,852.36,2010-10-20,81.93,852.36,81.93
"294",2010-10-21,2010-10-21,852.29,2010-10-21,80.03,852.29,80.03
"295",2010-10-22,2010-10-22,840.34,2010-10-22,81.15,840.34,81.15
"296",2010-10-23,NA,NA,NA,NA,845.136666666667,81.4333333333333
"297",2010-10-24,NA,NA,NA,NA,849.933333333333,81.7166666666667
"298",2010-10-25,2010-10-25,854.73,2010-10-25,82,854.73,82
"299",2010-10-26,2010-10-26,841.96,2010-10-26,82.6,841.96,82.6
"300",2010-10-27,2010-10-27,841.01,2010-10-27,81.9,841.01,81.9
"301",2010-10-28,2010-10-28,837.38,2010-10-28,82.2,837.38,82.2
"302",2010-10-29,2010-10-29,840.72,2010-10-29,81.45,840.72,81.45
"303",2010-10-30,NA,NA,NA,NA,843.066666666667,81.9466666666667
"304",2010-10-31,NA,NA,NA,NA,845.413333333333,82.4433333333333
"305",2010-11-01,2010-11-01,847.76,2010-11-01,82.94,847.76,82.94
"306",2010-11-02,2010-11-02,849.02,2010-11-02,83.91,849.02,83.91
"307",2010-11-03,2010-11-03,842.01,2010-11-03,84.45,842.01,84.45
"308",2010-11-04,2010-11-04,840.95,2010-11-04,86.49,840.95,86.49
"309",2010-11-05,2010-11-05,855.37,2010-11-05,86.85,855.37,86.85
"310",2010-11-06,NA,NA,NA,NA,857.123333333333,86.9233333333333
"311",2010-11-07,NA,NA,NA,NA,858.876666666667,86.9966666666667
"312",2010-11-08,2010-11-08,860.63,2010-11-08,87.07,860.63,87.07
"313",2010-11-09,2010-11-09,877.32,2010-11-09,87.04,877.32,87.04
"314",2010-11-10,2010-11-10,874.23,2010-11-10,87.77,874.23,87.77
"315",2010-11-11,2010-11-11,875.79,2010-11-11,87.77,875.79,87.77
"316",2010-11-12,2010-11-12,865.15,2010-11-12,84.89,865.15,84.89
"317",2010-11-13,NA,NA,NA,NA,859.86,84.8866666666667
"318",2010-11-14,NA,NA,NA,NA,854.57,84.8833333333333
"319",2010-11-15,2010-11-15,849.28,2010-11-15,84.88,849.28,84.88
"320",2010-11-16,2010-11-16,850.01,2010-11-16,82.33,850.01,82.33
"321",2010-11-17,2010-11-17,839.19,2010-11-17,80.43,839.19,80.43
"322",2010-11-18,2010-11-18,850.36,2010-11-18,81.88,850.36,81.88
"323",2010-11-19,2010-11-19,845.16,2010-11-19,81.65,845.16,81.65
"324",2010-11-20,NA,NA,NA,NA,845.283333333333,81.5133333333333
"325",2010-11-21,NA,NA,NA,NA,845.406666666667,81.3766666666667
"326",2010-11-22,2010-11-22,845.53,2010-11-22,81.24,845.53,81.24
"327",2010-11-23,2010-11-23,853.99,2010-11-23,80.79,853.99,80.79
"328",2010-11-24,2010-11-24,873.48,2010-11-24,83.21,873.48,83.21
"329",2010-11-25,2010-11-25,870.05,2010-11-25,NA,870.05,83.54
"330",2010-11-26,2010-11-26,870.16,2010-11-26,83.87,870.16,83.87
"331",2010-11-27,NA,NA,NA,NA,870.93,84.49
"332",2010-11-28,NA,NA,NA,NA,871.7,85.11
"333",2010-11-29,2010-11-29,872.47,2010-11-29,85.73,872.47,85.73
"334",2010-11-30,2010-11-30,885.1,2010-11-30,84.12,885.1,84.12
"335",2010-12-01,2010-12-01,890.16,2010-12-01,86.75,890.16,86.75
"336",2010-12-02,2010-12-02,888.92,2010-12-02,87.98,888.92,87.98
"337",2010-12-03,2010-12-03,888.22,2010-12-03,89.18,888.22,89.18
"338",2010-12-04,NA,NA,NA,NA,891.943333333333,89.23
"339",2010-12-05,NA,NA,NA,NA,895.666666666667,89.28
"340",2010-12-06,2010-12-06,899.39,2010-12-06,89.33,899.39,89.33
"341",2010-12-07,2010-12-07,902.13,2010-12-07,88.69,902.13,88.69
"342",2010-12-08,2010-12-08,887.46,2010-12-08,88.3,887.46,88.3
"343",2010-12-09,2010-12-09,875.85,2010-12-09,88.35,875.85,88.35
"344",2010-12-10,2010-12-10,877.8,2010-12-10,87.81,877.8,87.81
"345",2010-12-11,NA,NA,NA,NA,879.42,88.08
"346",2010-12-12,NA,NA,NA,NA,881.04,88.35
"347",2010-12-13,2010-12-13,882.66,2010-12-13,88.62,882.66,88.62
"348",2010-12-14,2010-12-14,884.98,2010-12-14,88.33,884.98,88.33
"349",2010-12-15,2010-12-15,884.01,2010-12-15,88.66,884.01,88.66
"350",2010-12-16,2010-12-16,887.52,2010-12-16,87.71,887.52,87.71
"351",2010-12-17,2010-12-17,879.56,2010-12-17,88.02,879.56,88.02
"352",2010-12-18,NA,NA,NA,NA,882.693333333333,88.24
"353",2010-12-19,NA,NA,NA,NA,885.826666666667,88.46
"354",2010-12-20,2010-12-20,888.96,2010-12-20,88.68,888.96,88.68
"355",2010-12-21,2010-12-21,894.08,2010-12-21,89.3,894.08,89.3
"356",2010-12-22,2010-12-22,898.33,2010-12-22,89.83,898.33,89.83
"357",2010-12-23,2010-12-23,898.7,2010-12-23,90.84,898.7,90.84
"358",2010-12-24,2010-12-24,893.53,2010-12-24,NA,893.53,90.8775
"359",2010-12-25,NA,NA,NA,NA,897.31,90.915
"360",2010-12-26,NA,NA,NA,NA,901.09,90.9525
"361",2010-12-27,NA,NA,2010-12-27,90.99,904.87,90.99
"362",2010-12-28,NA,NA,2010-12-28,91.48,908.65,91.48
"363",2010-12-29,2010-12-29,912.43,2010-12-29,91.13,912.43,91.13
"364",2010-12-30,2010-12-30,912.47,2010-12-30,89.85,912.47,89.85
"365",2010-12-31,2010-12-31,908.73,2010-12-31,91.38,908.73,91.38
