period,LBMA Gold Prices - daily - euro - AM (LBMA/gold_D/gold_D_EUR_AM)
1969-03-27,18.17
1969-03-28,18.09
1969-03-31,18.01
1969-04-01,18.0
1969-04-02,18.08
1969-04-03,18.11
1969-04-08,18.1
1969-04-09,18.11
1969-04-10,18.12
1969-04-11,18.1
1969-04-14,18.06
1969-04-15,17.9
1969-04-16,17.98
1969-04-17,18.04
1969-04-18,18.03
1969-04-21,18.03
1969-04-22,18.04
1969-04-23,18.17
1969-04-24,18.1
1969-04-25,18.11
1969-04-28,18.25
1969-04-29,18.24
1969-04-30,18.26
1969-05-01,18.29
1969-05-02,18.3
1969-05-05,18.23
1969-05-06,18.19
1969-05-07,18.23
1969-05-08,18.32
1969-05-09,18.3
1969-05-12,18.21
1969-05-13,18.23
1969-05-14,18.22
1969-05-15,18.21
1969-05-16,18.22
1969-05-19,18.2
1969-05-20,18.2
1969-05-21,18.18
1969-05-22,18.19
1969-05-23,18.23
1969-05-27,18.2
1969-05-28,18.17
1969-05-29,18.03
1969-05-30,18.06
1969-06-02,17.97
1969-06-03,17.63
1969-06-04,17.6
1969-06-05,17.21
1969-06-06,17.06
1969-06-09,17.04
1969-06-10,17.58
1969-06-11,17.5
1969-06-12,17.39
1969-06-13,17.38
1969-06-16,17.25
1969-06-17,17.37
1969-06-18,17.32
1969-06-19,17.34
1969-06-20,17.34
1969-06-23,17.24
1969-06-24,17.24
1969-06-25,17.1
1969-06-26,17.14
1969-06-27,17.19
1969-06-30,17.24
1969-07-01,17.18
1969-07-02,17.24
1969-07-03,17.37
1969-07-04,17.37
1969-07-07,17.46
1969-07-08,17.61
1969-07-09,17.53
1969-07-10,17.53
1969-07-11,17.53
1969-07-14,17.54
1969-07-15,17.58
1969-07-16,17.52
1969-07-17,17.56
1969-07-18,17.53
1969-07-21,17.57
1969-07-22,17.56
1969-07-23,17.53
1969-07-24,17.53
1969-07-25,17.52
1969-07-28,17.46
1969-07-29,17.36
1969-07-30,17.35
1969-07-31,17.34
1969-08-01,17.32
1969-08-04,17.31
1969-08-05,17.21
1969-08-06,17.19
1969-08-07,17.16
1969-08-08,17.21
1969-08-11,17.37
1969-08-12,17.27
1969-08-13,17.24
1969-08-14,17.37
1969-08-15,17.26
1969-08-18,17.28
1969-08-19,17.24
1969-08-20,17.22
1969-08-21,17.23
1969-08-22,17.23
1969-08-25,17.19
1969-08-26,17.16
1969-08-27,17.16
1969-08-28,17.2
1969-08-29,17.2
1969-09-02,17.12
1969-09-03,17.11
1969-09-04,17.17
1969-09-05,17.17
1969-09-08,17.16
1969-09-09,17.16
1969-09-10,17.18
1969-09-11,17.16
1969-09-12,17.17
1969-09-15,17.18
1969-09-16,17.17
1969-09-17,17.18
1969-09-18,17.13
1969-09-19,17.13
1969-09-22,17.14
1969-09-23,17.12
1969-09-24,17.15
1969-09-25,17.15
1969-09-26,17.11
1969-09-29,17.05
1969-09-30,17.06
1969-10-01,17.09
1969-10-02,17.09
1969-10-03,17.17
1969-10-06,17.13
1969-10-07,17.09
1969-10-08,17.08
1969-10-09,17.09
1969-10-10,17.08
1969-10-13,17.02
1969-10-14,17.02
1969-10-15,17.03
1969-10-16,17.0
1969-10-17,16.97
1969-10-20,16.92
1969-10-21,16.87
1969-10-22,16.83
1969-10-23,16.7
1969-10-24,16.76
1969-10-27,16.77
1969-10-28,16.76
1969-10-29,16.73
1969-10-30,16.7
1969-10-31,16.64
1969-11-03,16.52
1969-11-04,16.49
1969-11-05,16.48
1969-11-06,16.28
1969-11-07,16.2
1969-11-10,15.81
1969-11-11,15.94
1969-11-12,15.88
1969-11-13,15.77
1969-11-14,15.77
1969-11-17,15.82
1969-11-18,15.78
1969-11-19,15.47
1969-11-20,15.03
1969-11-21,15.07
1969-11-24,14.95
1969-11-25,14.75
1969-11-26,14.84
1969-11-27,14.87
1969-11-28,14.84
1969-12-01,14.82
1969-12-02,14.8
1969-12-03,14.75
1969-12-04,14.74
1969-12-05,14.7
1969-12-08,14.69
1969-12-09,14.61
1969-12-10,14.6
1969-12-11,14.68
1969-12-12,14.74
1969-12-15,14.69
1969-12-16,14.62
1969-12-17,14.64
1969-12-18,14.64
1969-12-19,14.6
1969-12-22,14.62
1969-12-23,14.64
1969-12-24,14.67
1969-12-29,14.69
1969-12-30,14.68
1969-12-31,14.67
1970-01-02,14.63
1970-01-05,14.62
1970-01-06,14.64
1970-01-07,14.58
1970-01-08,14.57
1970-01-09,14.53
1970-01-12,14.58
1970-01-13,14.56
1970-01-14,14.54
1970-01-15,14.53
1970-01-16,14.49
1970-01-19,14.49
1970-01-20,14.5
1970-01-21,14.5
1970-01-22,14.54
1970-01-23,14.58
1970-01-26,14.57
1970-01-27,14.58
1970-01-28,14.57
1970-01-29,14.58
1970-01-30,14.56
1970-02-02,14.55
1970-02-03,14.57
1970-02-04,14.56
1970-02-05,14.57
1970-02-06,14.56
1970-02-09,14.57
1970-02-10,14.57
1970-02-11,14.57
1970-02-12,14.56
1970-02-13,14.56
1970-02-16,14.56
1970-02-17,14.55
1970-02-18,14.53
1970-02-19,14.54
1970-02-20,14.54
1970-02-23,14.55
1970-02-24,14.54
1970-02-25,14.54
1970-02-26,14.54
1970-02-27,14.54
1970-03-02,14.54
1970-03-03,14.54
1970-03-04,14.53
1970-03-05,14.54
1970-03-06,14.53
1970-03-09,14.55
1970-03-10,14.54
1970-03-11,14.54
1970-03-12,14.55
1970-03-13,14.55
1970-03-16,14.57
1970-03-17,14.59
1970-03-18,14.58
1970-03-19,14.68
1970-03-20,14.62
1970-03-23,14.62
1970-03-24,14.62
1970-03-25,14.67
1970-03-26,14.67
1970-03-31,14.67
1970-04-01,14.67
1970-04-02,14.71
1970-04-03,14.69
1970-04-06,14.68
1970-04-07,14.67
1970-04-08,14.69
1970-04-09,14.73
1970-04-10,14.71
1970-04-13,14.72
1970-04-14,14.77
1970-04-15,14.89
1970-04-16,14.86
1970-04-17,14.85
1970-04-20,14.86
1970-04-21,14.89
1970-04-22,14.92
1970-04-23,14.95
1970-04-24,14.88
1970-04-27,14.86
1970-04-28,14.89
1970-04-29,14.91
1970-04-30,14.9
1970-05-01,14.9
1970-05-04,14.93
1970-05-05,15.05
1970-05-06,15.06
1970-05-07,15.06
1970-05-08,15.06
1970-05-11,15.03
1970-05-12,14.97
1970-05-13,14.94
1970-05-14,14.94
1970-05-15,14.94
1970-05-18,14.96
1970-05-19,14.96
1970-05-20,14.96
1970-05-21,14.96
1970-05-22,14.95
1970-05-26,14.93
1970-05-27,14.9
1970-05-28,14.85
1970-05-29,14.78
1970-06-01,14.77
1970-06-02,14.72
1970-06-03,14.67
1970-06-04,14.66
1970-06-05,14.67
1970-06-08,14.69
1970-06-09,14.88
1970-06-10,14.8
1970-06-11,14.84
1970-06-12,14.86
1970-06-15,14.87
1970-06-16,14.81
1970-06-17,14.74
1970-06-18,14.79
1970-06-19,14.74
1970-06-22,14.76
1970-06-23,14.78
1970-06-24,14.78
1970-06-25,14.87
1970-06-26,14.8
1970-06-29,14.8
1970-06-30,14.82
1970-07-01,14.82
1970-07-02,14.81
1970-07-03,14.78
1970-07-06,14.78
1970-07-07,14.78
1970-07-08,14.76
1970-07-09,14.76
1970-07-10,14.77
1970-07-13,14.78
1970-07-14,14.77
1970-07-15,14.77
1970-07-16,14.77
1970-07-17,14.78
1970-07-20,14.79
1970-07-21,14.79
1970-07-22,14.79
1970-07-23,14.78
1970-07-24,14.77
1970-07-27,14.78
1970-07-28,14.78
1970-07-29,14.77
1970-07-30,14.77
1970-07-31,14.76
1970-08-03,14.77
1970-08-04,14.77
1970-08-05,14.77
1970-08-06,14.77
1970-08-07,14.77
1970-08-10,14.77
1970-08-11,14.75
1970-08-12,14.75
1970-08-13,14.77
1970-08-14,14.75
1970-08-17,14.76
1970-08-18,14.76
1970-08-19,14.76
1970-08-20,14.77
1970-08-21,14.8
1970-08-24,14.88
1970-08-25,14.92
1970-08-26,14.93
1970-08-27,15.05
1970-08-28,15.01
1970-09-01,15.04
1970-09-02,15.14
1970-09-03,15.26
1970-09-04,15.24
1970-09-07,15.21
1970-09-08,15.1
1970-09-09,15.2
1970-09-10,15.18
1970-09-11,15.22
1970-09-14,15.25
1970-09-15,15.21
1970-09-16,15.12
1970-09-17,15.18
1970-09-18,15.18
1970-09-21,15.19
1970-09-22,15.21
1970-09-23,15.19
1970-09-24,15.15
1970-09-25,15.15
1970-09-28,15.16
1970-09-29,15.17
1970-09-30,15.18
1970-10-01,15.27
1970-10-02,15.2
1970-10-05,15.31
1970-10-06,15.48
1970-10-07,15.43
1970-10-08,15.39
1970-10-09,15.42
1970-10-12,15.61
1970-10-13,15.66
1970-10-14,15.69
1970-10-15,15.75
1970-10-16,15.74
1970-10-19,15.78
1970-10-20,15.86
1970-10-21,15.91
1970-10-22,15.85
1970-10-23,16.0
1970-10-26,16.39
1970-10-27,16.4
1970-10-28,16.2
1970-10-29,16.07
1970-10-30,15.65
1970-11-02,15.77
1970-11-03,15.67
1970-11-04,15.38
1970-11-05,15.51
1970-11-06,15.47
1970-11-09,15.57
1970-11-10,15.72
1970-11-11,15.53
1970-11-12,15.62
1970-11-13,15.74
1970-11-16,15.87
1970-11-17,15.62
1970-11-18,15.73
1970-11-19,15.74
1970-11-20,15.74
1970-11-23,15.71
1970-11-24,15.65
1970-11-25,15.75
1970-11-26,15.81
1970-11-27,15.74
1970-11-30,15.74
1970-12-01,15.64
1970-12-02,15.73
1970-12-03,15.73
1970-12-04,15.72
1970-12-07,15.69
1970-12-08,15.65
1970-12-09,15.58
1970-12-10,15.48
1970-12-11,15.56
1970-12-14,15.56
1970-12-15,15.64
1970-12-16,15.78
1970-12-17,15.75
1970-12-18,15.75
1970-12-21,15.74
1970-12-22,15.74
1970-12-23,15.68
1970-12-24,15.64
1970-12-28,15.6
1970-12-29,15.6
1970-12-30,15.62
1970-12-31,15.62
1971-01-04,15.59
1971-01-05,15.66
1971-01-06,15.66
1971-01-07,15.6
1971-01-08,15.65
1971-01-11,15.64
1971-01-12,15.77
1971-01-13,15.94
1971-01-14,15.85
1971-01-15,15.84
1971-01-18,15.84
1971-01-19,15.77
1971-01-20,15.8
1971-01-21,15.86
1971-01-22,15.74
1971-01-25,15.71
1971-01-26,15.77
1971-01-27,15.75
1971-01-28,15.75
1971-01-29,15.73
1971-02-01,15.76
1971-02-02,15.86
1971-02-03,16.01
1971-02-04,15.92
1971-02-05,15.93
1971-02-08,15.95
1971-02-09,16.03
1971-02-10,16.09
1971-02-11,16.08
1971-02-12,16.15
1971-02-15,16.09
1971-02-16,16.1
1971-02-17,16.08
1971-02-18,16.06
1971-02-19,16.03
1971-02-22,16.02
1971-02-23,16.04
1971-02-24,16.03
1971-02-25,16.02
1971-02-26,16.06
1971-03-01,16.04
1971-03-02,16.01
1971-03-03,16.03
1971-03-04,16.04
1971-03-05,16.03
1971-03-08,16.02
1971-03-09,16.04
1971-03-10,16.06
1971-03-11,16.11
1971-03-12,16.13
1971-03-15,16.15
1971-03-16,16.11
1971-03-17,16.09
1971-03-18,16.1
1971-03-19,16.13
1971-03-22,16.1
1971-03-23,16.09
1971-03-24,16.09
1971-03-25,16.09
1971-03-26,16.09
1971-03-29,16.05
1971-03-30,16.03
1971-03-31,16.04
1971-04-01,16.12
1971-04-02,16.09
1971-04-05,16.11
1971-04-06,16.09
1971-04-07,16.1
1971-04-08,16.13
1971-04-13,16.1
1971-04-14,16.09
1971-04-15,16.08
1971-04-16,16.1
1971-04-19,16.1
1971-04-20,16.1
1971-04-21,16.08
1971-04-22,16.11
1971-04-23,16.17
1971-04-26,16.12
1971-04-27,16.09
1971-04-28,16.18
1971-04-29,16.3
1971-04-30,16.37
1971-05-03,16.29
1971-05-04,16.48
1971-05-05,16.4
1971-05-06,16.63
1971-05-07,16.49
1971-05-10,16.39
1971-05-11,16.55
1971-05-12,16.83
1971-05-13,16.89
1971-05-14,16.87
1971-05-17,16.99
1971-05-18,17.03
1971-05-19,16.74
1971-05-20,16.87
1971-05-21,16.97
1971-05-24,16.84
1971-05-25,16.94
1971-05-26,16.93
1971-05-27,16.82
1971-05-28,16.87
1971-06-01,16.9
1971-06-02,16.83
1971-06-03,16.76
1971-06-04,16.78
1971-06-07,16.74
1971-06-08,16.66
1971-06-09,16.51
1971-06-10,16.37
1971-06-11,16.39
1971-06-14,16.37
1971-06-15,16.33
1971-06-16,16.44
1971-06-17,16.51
1971-06-18,16.49
1971-06-21,16.51
1971-06-22,16.58
1971-06-23,16.64
1971-06-24,16.7
1971-06-25,16.58
1971-06-28,16.57
1971-06-29,16.49
1971-06-30,16.61
1971-07-01,16.58
1971-07-02,16.71
1971-07-05,16.63
1971-07-06,16.67
1971-07-07,16.62
1971-07-08,16.65
1971-07-09,16.64
1971-07-12,16.68
1971-07-13,16.69
1971-07-14,16.7
1971-07-15,16.72
1971-07-16,16.79
1971-07-19,16.96
1971-07-20,16.95
1971-07-21,17.03
1971-07-22,17.19
1971-07-23,17.19
1971-07-26,17.14
1971-07-27,17.36
1971-07-28,17.41
1971-07-29,17.45
1971-07-30,17.56
1971-08-02,17.56
1971-08-03,17.44
1971-08-04,17.45
1971-08-05,17.69
1971-08-06,17.63
1971-08-09,17.73
1971-08-10,17.9
1971-08-11,17.67
1971-08-12,17.87
1971-08-13,17.89
1971-08-17,NA
1971-08-18,NA
1971-08-19,NA
1971-08-20,NA
1971-08-23,17.7
1971-08-24,17.64
1971-08-25,17.57
1971-08-26,17.34
1971-08-27,16.61
1971-08-31,16.66
1971-09-01,16.58
1971-09-02,16.88
1971-09-03,16.96
1971-09-06,16.98
1971-09-07,16.95
1971-09-08,16.8
1971-09-09,16.96
1971-09-10,16.91
1971-09-13,16.9
1971-09-14,17.0
1971-09-15,16.95
1971-09-16,17.09
1971-09-17,17.04
1971-09-20,17.01
1971-09-21,17.08
1971-09-22,17.06
1971-09-23,17.08
1971-09-24,17.17
1971-09-27,17.06
1971-09-28,17.22
1971-09-29,17.21
1971-09-30,17.1
1971-10-01,16.97
1971-10-04,17.08
1971-10-05,17.02
1971-10-06,17.03
1971-10-07,17.06
1971-10-08,17.06
1971-10-11,17.04
1971-10-12,17.07
1971-10-13,17.11
1971-10-14,17.1
1971-10-15,17.11
1971-10-18,17.08
1971-10-19,17.1
1971-10-20,17.07
1971-10-21,17.08
1971-10-22,17.04
1971-10-25,17.04
1971-10-26,17.04
1971-10-27,17.04
1971-10-28,17.02
1971-10-29,17.0
1971-11-01,16.91
1971-11-02,17.01
1971-11-03,16.92
1971-11-04,16.91
1971-11-05,16.94
1971-11-08,16.99
1971-11-09,17.04
1971-11-10,17.1
1971-11-11,17.07
1971-11-12,17.08
1971-11-15,17.19
1971-11-16,17.25
1971-11-17,17.17
1971-11-18,17.25
1971-11-19,17.3
1971-11-22,17.34
1971-11-23,17.32
1971-11-24,17.39
1971-11-25,17.5
1971-11-26,17.37
1971-11-29,17.5
1971-11-30,17.46
1971-12-01,17.44
1971-12-02,17.48
1971-12-03,17.53
1971-12-06,17.57
1971-12-07,17.53
1971-12-08,17.41
1971-12-09,17.29
1971-12-10,17.35
1971-12-13,17.33
1971-12-14,17.33
1971-12-15,17.31
1971-12-16,17.22
1971-12-17,17.03
1971-12-20,NA
1971-12-21,16.81
1971-12-22,16.89
1971-12-23,17.05
1971-12-24,16.99
1971-12-28,17.0
1971-12-29,17.09
1971-12-30,17.05
1971-12-31,17.08
1972-01-03,17.12
1972-01-04,17.38
1972-01-05,17.41
1972-01-06,17.59
1972-01-07,17.94
1972-01-10,17.92
1972-01-11,17.78
1972-01-12,17.75
1972-01-13,17.81
1972-01-14,17.87
1972-01-17,17.74
1972-01-18,17.82
1972-01-19,17.79
1972-01-20,17.75
1972-01-21,17.77
1972-01-24,17.74
1972-01-25,17.8
1972-01-26,17.78
1972-01-27,17.85
1972-01-28,18.14
1972-01-31,18.1
1972-02-01,18.31
1972-02-02,18.66
1972-02-03,18.57
1972-02-04,18.27
1972-02-07,18.24
1972-02-08,18.5
1972-02-09,18.41
1972-02-10,18.58
1972-02-11,18.51
1972-02-14,18.59
1972-02-15,18.48
1972-02-16,18.51
1972-02-17,18.61
1972-02-18,18.49
1972-02-21,18.56
1972-02-22,18.66
1972-02-23,18.65
1972-02-24,18.68
1972-02-25,18.65
1972-02-28,18.6
1972-02-29,18.57
1972-03-01,18.34
1972-03-02,18.5
1972-03-03,18.43
1972-03-06,18.4
1972-03-07,18.41
1972-03-08,18.39
1972-03-09,18.32
1972-03-10,18.23
1972-03-13,18.29
1972-03-14,18.4
1972-03-15,18.45
1972-03-16,18.46
1972-03-17,18.49
1972-03-20,18.55
1972-03-21,18.52
1972-03-22,18.45
1972-03-23,18.53
1972-03-24,18.57
1972-03-27,18.54
1972-03-28,18.46
1972-03-29,18.49
1972-03-30,18.5
1972-04-04,18.5
1972-04-05,18.54
1972-04-06,18.5
1972-04-07,18.54
1972-04-10,18.56
1972-04-11,18.57
1972-04-12,18.68
1972-04-13,18.93
1972-04-14,18.92
1972-04-17,18.93
1972-04-18,18.97
1972-04-19,18.9
1972-04-20,18.94
1972-04-21,18.92
1972-04-24,18.92
1972-04-25,18.84
1972-04-26,18.88
1972-04-27,18.92
1972-04-28,18.96
1972-05-01,19.22
1972-05-02,19.41
1972-05-03,19.26
1972-05-04,19.28
1972-05-05,19.36
1972-05-08,19.77
1972-05-09,20.66
1972-05-10,20.37
1972-05-11,20.28
1972-05-12,20.21
1972-05-15,20.21
1972-05-16,20.87
1972-05-17,22.01
1972-05-18,21.86
1972-05-19,21.62
1972-05-22,21.89
1972-05-23,22.01
1972-05-24,21.67
1972-05-25,21.79
1972-05-26,22.02
1972-05-30,22.47
1972-05-31,22.69
1972-06-01,22.51
1972-06-02,22.66
1972-06-05,22.74
1972-06-06,22.88
1972-06-07,24.79
1972-06-08,25.56
1972-06-09,25.12
1972-06-12,22.6
1972-06-13,24.27
1972-06-14,23.27
1972-06-15,23.63
1972-06-16,23.79
1972-06-19,23.35
1972-06-20,23.82
1972-06-21,23.63
1972-06-22,23.87
1972-06-23,NA
1972-06-26,NA
1972-06-27,24.97
1972-06-28,25.44
1972-06-29,26.39
1972-06-30,26.12
1972-07-03,26.35
1972-07-04,27.12
1972-07-05,26.92
1972-07-06,27.03
1972-07-07,27.05
1972-07-10,26.7
1972-07-11,26.91
1972-07-12,26.53
1972-07-13,26.56
1972-07-14,26.45
1972-07-17,26.58
1972-07-18,26.89
1972-07-19,26.58
1972-07-20,26.51
1972-07-21,26.67
1972-07-24,26.64
1972-07-25,26.78
1972-07-26,26.79
1972-07-27,26.79
1972-07-28,27.55
1972-07-31,28.12
1972-08-01,28.09
1972-08-02,28.58
1972-08-03,28.04
1972-08-04,27.65
1972-08-07,27.91
1972-08-08,27.02
1972-08-09,26.77
1972-08-10,26.96
1972-08-11,26.96
1972-08-14,26.41
1972-08-15,26.79
1972-08-16,26.81
1972-08-17,27.01
1972-08-18,27.02
1972-08-21,27.18
1972-08-22,27.35
1972-08-23,27.56
1972-08-24,27.5
1972-08-25,27.42
1972-08-29,27.22
1972-08-30,27.24
1972-08-31,27.28
1972-09-01,27.3
1972-09-04,27.3
1972-09-05,27.3
1972-09-06,27.35
1972-09-07,27.35
1972-09-08,27.41
1972-09-11,27.47
1972-09-12,27.38
1972-09-13,27.36
1972-09-14,27.32
1972-09-15,27.0
1972-09-18,26.35
1972-09-19,26.3
1972-09-20,26.41
1972-09-21,26.4
1972-09-22,26.5
1972-09-25,26.23
1972-09-26,26.06
1972-09-27,26.19
1972-09-28,26.45
1972-09-29,26.46
1972-10-02,26.47
1972-10-03,26.44
1972-10-04,26.73
1972-10-05,27.07
1972-10-06,26.97
1972-10-09,27.13
1972-10-10,27.08
1972-10-11,26.94
1972-10-12,26.63
1972-10-13,26.68
1972-10-16,26.86
1972-10-17,27.02
1972-10-18,26.91
1972-10-19,27.05
1972-10-20,27.12
1972-10-23,27.11
1972-10-24,27.06
1972-10-25,27.43
1972-10-26,27.42
1972-10-27,27.66
1972-10-30,27.61
1972-10-31,27.6
1972-11-01,27.1
1972-11-02,27.21
1972-11-03,27.33
1972-11-06,27.23
1972-11-07,27.05
1972-11-08,27.13
1972-11-09,26.82
1972-11-10,26.6
1972-11-13,26.64
1972-11-14,26.56
1972-11-15,26.27
1972-11-16,26.15
1972-11-17,25.59
1972-11-20,25.71
1972-11-21,26.15
1972-11-22,26.4
1972-11-23,26.39
1972-11-24,26.61
1972-11-27,26.8
1972-11-28,27.06
1972-11-29,27.03
1972-11-30,27.04
1972-12-01,27.21
1972-12-04,27.0
1972-12-05,26.88
1972-12-06,26.91
1972-12-07,26.83
1972-12-08,26.93
1972-12-11,26.89
1972-12-12,26.84
1972-12-13,26.87
1972-12-14,26.99
1972-12-15,27.05
1972-12-18,27.36
1972-12-19,27.88
1972-12-20,27.58
1972-12-21,27.37
1972-12-22,27.34
1972-12-27,27.6
1972-12-28,27.6
1972-12-29,27.58
1973-01-02,27.69
1973-01-03,27.79
1973-01-04,27.76
1973-01-05,27.75
